region,sector,price_type,year,value_million_thb
Eastern,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,15352.586
Western,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,1311.916
Central,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,1672.102
Bangkok & Vicinities,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,31034.555
Whole Kingdom,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,64134.299
Northeastern,Services,chain_volume_measures_ref2002,2023,603019.983
Northern,Services,chain_volume_measures_ref2002,2023,442301.83
Southern,Services,chain_volume_measures_ref2002,2023,504646.56
Eastern,Services,chain_volume_measures_ref2002,2023,599728.479
Western,Services,chain_volume_measures_ref2002,2023,174930.237
Central,Services,chain_volume_measures_ref2002,2023,188991.541
Bangkok & Vicinities,Services,chain_volume_measures_ref2002,2023,4502120.53
Whole Kingdom,Services,chain_volume_measures_ref2002,2023,6982329.543
Northeastern,Construction,chain_volume_measures_ref2002,2023,49209.362
Northern,Construction,chain_volume_measures_ref2002,2023,34891.932
Southern,Construction,chain_volume_measures_ref2002,2023,37576.878
Eastern,Construction,chain_volume_measures_ref2002,2023,38703.103
Western,Construction,chain_volume_measures_ref2002,2023,16905.27
Central,Construction,chain_volume_measures_ref2002,2023,11333.32
Bangkok & Vicinities,Construction,chain_volume_measures_ref2002,2023,104741.265
Whole Kingdom,Construction,chain_volume_measures_ref2002,2023,293520.505
Northeastern,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,123366.87
Northern,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,91906.355
Southern,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,76541.724
Eastern,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,197341.783
Western,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,38544.185
Central,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,52555.964
Bangkok & Vicinities,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,1209947.159
Whole Kingdom,Wholesale and retail trade and repair of motor vehicles and motorcycle,chain_volume_measures_ref2002,2023,1772249.984
Northeastern,Transportation and storage,chain_volume_measures_ref2002,2023,30436.571
Northern,Transportation and storage,chain_volume_measures_ref2002,2023,23885.06
Southern,Transportation and storage,chain_volume_measures_ref2002,2023,56057.714
Eastern,Transportation and storage,chain_volume_measures_ref2002,2023,86651.286
Western,Transportation and storage,chain_volume_measures_ref2002,2023,9715.058
Central,Transportation and storage,chain_volume_measures_ref2002,2023,19096.855
Bangkok & Vicinities,Transportation and storage,chain_volume_measures_ref2002,2023,422790.348
Whole Kingdom,Transportation and storage,chain_volume_measures_ref2002,2023,655875.353
Northeastern,Accommodation and food service activities,chain_volume_measures_ref2002,2023,15248.78
Northern,Accommodation and food service activities,chain_volume_measures_ref2002,2023,23939.345
Southern,Accommodation and food service activities,chain_volume_measures_ref2002,2023,113709.451
Eastern,Accommodation and food service activities,chain_volume_measures_ref2002,2023,61845.8
Western,Accommodation and food service activities,chain_volume_measures_ref2002,2023,20824.368
Central,Accommodation and food service activities,chain_volume_measures_ref2002,2023,3983.828
Bangkok & Vicinities,Accommodation and food service activities,chain_volume_measures_ref2002,2023,367685.165
Whole Kingdom,Accommodation and food service activities,chain_volume_measures_ref2002,2023,601780.482
Northeastern,Information and communication,chain_volume_measures_ref2002,2023,17572.101
Northern,Information and communication,chain_volume_measures_ref2002,2023,16478.348
Southern,Information and communication,chain_volume_measures_ref2002,2023,18784.675
Eastern,Information and communication,chain_volume_measures_ref2002,2023,16875.646
Western,Information and communication,chain_volume_measures_ref2002,2023,6202.007
Central,Information and communication,chain_volume_measures_ref2002,2023,5642.005
Bangkok & Vicinities,Information and communication,chain_volume_measures_ref2002,2023,627241.597
Whole Kingdom,Information and communication,chain_volume_measures_ref2002,2023,703983.146
Northeastern,Financial and insurance activities,chain_volume_measures_ref2002,2023,88668.184
Northern,Financial and insurance activities,chain_volume_measures_ref2002,2023,59579.461
Southern,Financial and insurance activities,chain_volume_measures_ref2002,2023,53337.613
Eastern,Financial and insurance activities,chain_volume_measures_ref2002,2023,52761.642
Western,Financial and insurance activities,chain_volume_measures_ref2002,2023,19830.484
Central,Financial and insurance activities,chain_volume_measures_ref2002,2023,18702.82
Bangkok & Vicinities,Financial and insurance activities,chain_volume_measures_ref2002,2023,574627.516
Whole Kingdom,Financial and insurance activities,chain_volume_measures_ref2002,2023,866174.04
Northeastern,Real estate activities,chain_volume_measures_ref2002,2023,80530.786
Northern,Real estate activities,chain_volume_measures_ref2002,2023,55413.146
Southern,Real estate activities,chain_volume_measures_ref2002,2023,51552.609
Eastern,Real estate activities,chain_volume_measures_ref2002,2023,47050.513
Western,Real estate activities,chain_volume_measures_ref2002,2023,21200.033
Central,Real estate activities,chain_volume_measures_ref2002,2023,18242.255
Bangkok & Vicinities,Real estate activities,chain_volume_measures_ref2002,2023,187141.639
Whole Kingdom,Real estate activities,chain_volume_measures_ref2002,2023,461887.233
Northeastern,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,1022.61
Northern,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,1806.169
Southern,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,1990.034
Eastern,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,5570.854
Western,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,496.503
Central,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,15680.818
Bangkok & Vicinities,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,183402.61
Whole Kingdom,"Professional, scientific and technical activities",chain_volume_measures_ref2002,2023,208626.976
Northeastern,Administrative and support service activities,chain_volume_measures_ref2002,2023,2911.732
Northern,Administrative and support service activities,chain_volume_measures_ref2002,2023,3370.008
Southern,Administrative and support service activities,chain_volume_measures_ref2002,2023,6155.151
Eastern,Administrative and support service activities,chain_volume_measures_ref2002,2023,12986.15
Western,Administrative and support service activities,chain_volume_measures_ref2002,2023,2061.432
Central,Administrative and support service activities,chain_volume_measures_ref2002,2023,2815.059
Bangkok & Vicinities,Administrative and support service activities,chain_volume_measures_ref2002,2023,121719.084
Whole Kingdom,Administrative and support service activities,chain_volume_measures_ref2002,2023,151926.686
Northeastern,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,44132.069
Northern,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,36190.87
Southern,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,40070.54
Eastern,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,38569.254
Western,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,16571.125
Central,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,19462.821
Bangkok & Vicinities,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,342145.823
Whole Kingdom,Public administration and defence; compulsory social security,chain_volume_measures_ref2002,2023,537142.498
Northeastern,Education,chain_volume_measures_ref2002,2023,98956.485
Northern,Education,chain_volume_measures_ref2002,2023,55551.92
Southern,Education,chain_volume_measures_ref2002,2023,44432.646
Eastern,Education,chain_volume_measures_ref2002,2023,19444.317
Western,Education,chain_volume_measures_ref2002,2023,14223.344
Central,Education,chain_volume_measures_ref2002,2023,10680.356
Bangkok & Vicinities,Education,chain_volume_measures_ref2002,2023,104490.642
Whole Kingdom,Education,chain_volume_measures_ref2002,2023,344933.219
Northeastern,Human health and social work activities,chain_volume_measures_ref2002,2023,42387.4
Northern,Human health and social work activities,chain_volume_measures_ref2002,2023,34835.842
Southern,Human health and social work activities,chain_volume_measures_ref2002,2023,28072.243
Eastern,Human health and social work activities,chain_volume_measures_ref2002,2023,21147.945
Western,Human health and social work activities,chain_volume_measures_ref2002,2023,10679.843
Central,Human health and social work activities,chain_volume_measures_ref2002,2023,9940.559
Bangkok & Vicinities,Human health and social work activities,chain_volume_measures_ref2002,2023,138225.5
Whole Kingdom,Human health and social work activities,chain_volume_measures_ref2002,2023,284437.498
Northeastern,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,6590.699
Northern,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,5085.566
Southern,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,3961.789
Eastern,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,2781.415
Western,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,2333.73
Central,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,1544.048
Bangkok & Vicinities,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,86272.207
